Id,Response,L0_S0_D1,L0_S1_D26,L0_S1_D30,L0_S2_D34,L0_S3_D70,L0_S4_D106,L0_S4_D111,L0_S5_D115,L0_S6_D120,L0_S7_D137,L0_S8_D145,L0_S9_D152,L0_S9_D157,L0_S9_D162,L0_S9_D167,L0_S10_D216,L0_S10_D221,L0_S10_D231,L0_S11_D280,L0_S12_D331,L0_S13_D355,L0_S14_D360,L0_S15_D395,L0_S16_D423,L0_S17_D432,L0_S18_D437,L0_S19_D454,L0_S20_D462,L0_S21_D469,L0_S21_D474,L0_S21_D484,L0_S22_D543,L0_S22_D548,L0_S22_D553,L0_S22_D558,L0_S23_D617,L1_S24_D677,L1_S24_D697,L1_S24_D702,L1_S24_D772,L1_S24_D801,L1_S24_D804,L1_S24_D807,L1_S24_D813,L1_S24_D818,L1_S24_D909,L1_S24_D999,L1_S24_D1018,L1_S24_D1062,L1_S24_D1116,L1_S24_D1135,L1_S24_D1155,L1_S24_D1158,L1_S24_D1163,L1_S24_D1168,L1_S24_D1171,L1_S24_D1178,L1_S24_D1186,L1_S24_D1277,L1_S24_D1368,L1_S24_D1413,L1_S24_D1457,L1_S24_D1511,L1_S24_D1522,L1_S24_D1536,L1_S24_D1558,L1_S24_D1562,L1_S24_D1566,L1_S24_D1568,L1_S24_D1570,L1_S24_D1576,L1_S24_D1583,L1_S24_D1674,L1_S24_D1765,L1_S24_D1770,L1_S24_D1809,L1_S24_D1826,L1_S25_D1854,L1_S25_D1867,L1_S25_D1883,L1_S25_D1887,L1_S25_D1891,L1_S25_D1898,L1_S25_D1902,L1_S25_D1980,L1_S25_D2058,L1_S25_D2098,L1_S25_D2138,L1_S25_D2180,L1_S25_D2206,L1_S25_D2230,L1_S25_D2238,L1_S25_D2240,L1_S25_D2242,L1_S25_D2248,L1_S25_D2251,L1_S25_D2329,L1_S25_D2406,L1_S25_D2430,L1_S25_D2445,L1_S25_D2471,L1_S25_D2497,L1_S25_D2505,L1_S25_D2507,L1_S25_D2509,L1_S25_D2515,L1_S25_D2518,L1_S25_D2596,L1_S25_D2674,L1_S25_D2713,L1_S25_D2728,L1_S25_D2754,L1_S25_D2780,L1_S25_D2788,L1_S25_D2790,L1_S25_D2792,L1_S25_D2798,L1_S25_D2801,L1_S25_D2879,L1_S25_D2957,L1_S25_D2996,L1_S25_D3011,L2_S26_D3037,L2_S26_D3081,L2_S27_D3130,L2_S28_D3223,L3_S29_D3316,L3_S29_D3474,L3_S30_D3496,L3_S30_D3501,L3_S30_D3506,L3_S30_D3566,L3_S30_D3726,L3_S31_D3836,L3_S32_D3852,L3_S33_D3856,L3_S34_D3875,L3_S35_D3886,L3_S35_D3895,L3_S35_D3900,L3_S36_D3919,L3_S36_D3928,L3_S37_D3942,L3_S38_D3953,L3_S39_D3966,L3_S40_D3981,L3_S40_D3985,L3_S41_D3997,L3_S42_D4029,L3_S42_D4045,L3_S43_D4062,L3_S43_D4082,L3_S44_D4101,L3_S45_D4125,L3_S46_D4135,L3_S47_D4140,L3_S48_D4194,L3_S49_D4208,L3_S49_D4218,L3_S50_D4242,L3_S51_D4255
5017.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6300048828125,712.6300048828125,712.6300048828125,712.6300048828125,,712.6300048828125,712.6300048828125,712.6300048828125,712.6300048828125,,712.6400146484375,712.6699829101562,712.6699829101562,,712.6699829101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.6799926757812,,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,,755.7100219726562,,,755.719970703125,755.719970703125,755.719970703125,,,755.719970703125,,,,,,,,,,,,,,,,,,
5018.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6300048828125,712.6300048828125,712.6300048828125,712.6300048828125,,712.6300048828125,712.6300048828125,712.6300048828125,712.6300048828125,,712.6400146484375,712.6699829101562,712.6699829101562,,712.6699829101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.6799926757812,,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,755.6300048828125,,755.7100219726562,,,755.719970703125,755.719970703125,755.719970703125,,,755.719970703125,,,,,,,,,,,,,,,,,,
5177.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.4500122070312,612.4500122070312,612.4500122070312,612.4500122070312,,612.4500122070312,612.4500122070312,612.4500122070312,612.4600219726562,612.469970703125,,,,612.469970703125,612.469970703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.8900146484375,709.8900146484375,,,718.239990234375,718.239990234375,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,,,718.3200073242188,718.3200073242188,718.3300170898438,718.3300170898438,718.3300170898438,,,718.3300170898438,,,,,,,,,,,,,,,,,,
5178.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.4500122070312,612.4500122070312,612.4500122070312,612.4500122070312,,612.4500122070312,612.4500122070312,612.4500122070312,612.4600219726562,612.469970703125,,,,612.469970703125,612.469970703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.8900146484375,709.8900146484375,,,718.239990234375,718.239990234375,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,,,718.3200073242188,718.3200073242188,718.3300170898438,718.3300170898438,718.3300170898438,,,718.3300170898438,,,,,,,,,,,,,,,,,,
5179.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.4500122070312,612.4500122070312,612.4500122070312,612.4500122070312,,612.4500122070312,612.4500122070312,612.4500122070312,612.4600219726562,612.469970703125,,,,612.469970703125,612.469970703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.8900146484375,709.8900146484375,,,718.239990234375,718.239990234375,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,718.3099975585938,,,718.3200073242188,718.3200073242188,718.3300170898438,718.3300170898438,718.3300170898438,,,718.3300170898438,,,,,,,,,,,,,,,,,,
5919.0,1,922.2000122070312,922.2000122070312,922.2000122070312,,922.2000122070312,922.22998046875,922.22998046875,,922.22998046875,,922.239990234375,,,,,,,,922.239990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.5599975585938,925.5599975585938,925.5599975585938,925.5599975585938,925.5599975585938,925.5599975585938,925.5599975585938,,,925.5900268554688,925.5900268554688,925.5900268554688,925.5900268554688,925.5900268554688,,,925.5900268554688,,,,,,,,,,,,,,,,,,
5974.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.1799926757812,773.1799926757812,773.1799926757812,773.1799926757812,,773.1900024414062,773.1900024414062,773.1900024414062,773.1900024414062,773.2000122070312,,773.2000122070312,773.2000122070312,,773.2100219726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.9099731445312,784.9099731445312,,,787.7100219726562,787.7100219726562,787.7100219726562,787.7100219726562,787.7100219726562,787.7100219726562,787.7100219726562,,,787.719970703125,787.719970703125,,,,787.72998046875,787.72998046875,787.72998046875,,,,,,,,,,,,,,,,,,
6310.0,1,,,,,,,,,,,,,,,,,,,,1397.719970703125,1397.72998046875,1397.72998046875,,1397.7900390625,,,1397.7900390625,1397.7900390625,,,,1397.800048828125,1397.800048828125,1397.800048828125,1397.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.6099853515625,1398.6199951171875,1398.6199951171875,1398.6199951171875,,,,,1398.6199951171875,1398.6199951171875,,1398.6300048828125,1398.6300048828125,1398.6500244140625,1398.6500244140625,,1398.6500244140625
7018.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.8299865722656,466.8299865722656,466.8299865722656,,466.8399963378906,466.8500061035156,466.8500061035156,466.8500061035156,,466.8599853515625,,466.8699951171875,466.8699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.9700012207031,505.9700012207031,505.9800109863281,505.9800109863281,505.9800109863281,,505.9800109863281,,,505.989990234375,505.989990234375,505.989990234375,505.989990234375,505.989990234375,,,505.989990234375,525.989990234375,,,,,,,,,,,,,,,,,
7414.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.6300048828125,408.6300048828125,408.6400146484375,,408.6400146484375,408.6400146484375,,408.6400146484375,,408.6400146484375,455.70001220703125,455.70001220703125,,,468.7099914550781,468.7099914550781,468.7099914550781,468.7099914550781,468.7099914550781,,468.7099914550781,,,468.7200012207031,468.7200012207031,468.7300109863281,468.7300109863281,468.7300109863281,,,468.7300109863281,,,,,,,,,,,,,,,,,,
7529.0,1,1331.1600341796875,1331.1600341796875,1331.1600341796875,1331.1600341796875,,1331.1800537109375,1331.1800537109375,,1331.1800537109375,,1331.1800537109375,,,,,,,,1331.18994140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.3599853515625,1339.3599853515625,1339.4100341796875,1339.4100341796875,1339.4100341796875,1339.4100341796875,1339.4100341796875,,,1339.4200439453125,1339.4200439453125,1339.4200439453125,1339.4200439453125,1339.4200439453125,,,1339.4200439453125,,,,,,,,,,,,,,,,,,
7556.0,1,634.52001953125,634.52001953125,634.52001953125,,634.5800170898438,,,634.5900268554688,634.5999755859375,,634.5999755859375,634.5999755859375,634.5999755859375,634.5999755859375,634.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.1799926757812,637.1799926757812,637.1799926757812,637.1799926757812,637.1799926757812,637.1799926757812,637.1799926757812,,,637.1900024414062,637.2000122070312,637.2000122070312,637.2000122070312,637.2000122070312,,,637.2000122070312,,,,,,,,,,,,,,,,,,
7944.0,1,1643.2900390625,1643.2900390625,1643.2900390625,,1643.2900390625,1643.31005859375,1643.31005859375,,1643.31005859375,,1643.31005859375,,,,,,,,1643.3199462890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.219970703125,1646.219970703125,1646.22998046875,1646.22998046875,1646.22998046875,1646.22998046875,1646.22998046875,,1646.25,,,,,,1646.25,1646.25,1646.25,,,,,,,,,,,,,,,,,,
8051.0,1,943.1599731445312,943.1599731445312,943.1599731445312,,943.1599731445312,,,943.1799926757812,943.1900024414062,,943.219970703125,943.22998046875,943.22998046875,943.22998046875,943.22998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.239990234375,944.239990234375,,,946.6099853515625,946.6099853515625,946.6199951171875,946.6199951171875,946.6199951171875,946.6199951171875,946.6199951171875,,,946.6199951171875,946.6300048828125,946.6300048828125,946.6300048828125,946.6300048828125,,,946.6300048828125,,,,,,,,,,,,,,,,,,
8389.0,1,257.3999938964844,257.3999938964844,257.3999938964844,,257.3999938964844,,,257.4200134277344,,257.42999267578125,257.42999267578125,257.42999267578125,257.42999267578125,257.42999267578125,257.42999267578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.9200134277344,257.9200134277344,257.92999267578125,257.92999267578125,257.92999267578125,,257.92999267578125,,,257.94000244140625,257.94000244140625,257.94000244140625,257.94000244140625,257.94000244140625,,,257.95001220703125,,,,,,,,,,,,,,,,,,
9185.0,1,1511.5400390625,1511.5400390625,1511.5400390625,,1511.5400390625,1511.56005859375,1511.56005859375,,1511.5699462890625,,1511.5699462890625,1511.5699462890625,1511.5699462890625,1511.5699462890625,1511.5699462890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.47998046875,1513.47998046875,1513.47998046875,1513.47998046875,1513.47998046875,1513.47998046875,1513.47998046875,,,1513.489990234375,1513.489990234375,,,,1513.489990234375,1513.489990234375,1513.489990234375,,,,,,,,,,,,,,,,,,
9310.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.22998046875,792.22998046875,792.22998046875,792.22998046875,,792.22998046875,792.22998046875,792.22998046875,792.22998046875,,792.239990234375,792.25,792.25,,792.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.72998046875,,800.6500244140625,,800.6500244140625,800.6500244140625,800.6500244140625,800.6500244140625,800.6500244140625,,,800.6799926757812,800.6799926757812,800.6900024414062,800.6900024414062,800.6900024414062,,,800.6900024414062,,,,,,,,,,,,,,,,,,
9368.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.9600219726562,708.9600219726562,708.9600219726562,708.9600219726562,708.9600219726562,708.989990234375,708.989990234375,708.989990234375,709.0,709.0700073242188,709.0700073242188,,709.0900268554688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.739990234375,742.739990234375,,,745.1599731445312,745.1599731445312,745.1699829101562,745.1699829101562,745.1699829101562,745.1699829101562,745.1699829101562,,,745.1799926757812,745.1799926757812,745.1900024414062,745.1900024414062,745.1900024414062,,,745.1900024414062,,,,,,,,,,,,,,,,,,
9391.0,1,190.89999389648438,190.89999389648438,190.89999389648438,190.89999389648438,,190.91000366210938,190.91000366210938,,190.9600067138672,,190.9600067138672,,,,,190.9600067138672,190.9600067138672,190.9600067138672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.2100067138672,191.2100067138672,191.2100067138672,191.2100067138672,191.2100067138672,,191.2100067138672,,,191.22999572753906,191.24000549316406,191.24000549316406,191.24000549316406,191.24000549316406,,,191.24000549316406,,,,,,,,,,,,,,,,,,
9401.0,1,1499.8199462890625,1499.8199462890625,1499.8199462890625,,1499.8199462890625,,,1499.8900146484375,,1499.9000244140625,1499.9000244140625,1499.9000244140625,1499.9000244140625,1499.9000244140625,1499.9000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.8599853515625,1507.8599853515625,1507.9000244140625,1507.9000244140625,1507.9000244140625,1507.9000244140625,1507.9000244140625,,,1507.9100341796875,1507.9200439453125,,,,1507.9200439453125,1507.9200439453125,1507.9200439453125,,,,,,,,,,,,,,,,,,
9406.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.4099731445312,1010.510009765625,1010.52001953125,1010.52001953125,1010.52001953125,1010.52001953125,1010.530029296875,,,1010.5499877929688,1010.5499877929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.9599609375,1035.9599609375,,,1040.8399658203125,1040.8399658203125,1040.8399658203125,1040.8399658203125,1040.8399658203125,1040.8399658203125,1040.8399658203125,,,1040.8699951171875,1040.8699951171875,,,,1040.8699951171875,1040.8699951171875,1040.8699951171875,,,,,,,,,,,,,,,,,,
9568.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.989990234375,707.989990234375,707.989990234375,707.989990234375,,707.989990234375,707.989990234375,707.989990234375,707.989990234375,,707.989990234375,,,707.989990234375,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.219970703125,742.219970703125,,,745.25,745.25,745.25,745.25,745.25,745.25,745.25,,,745.27001953125,745.280029296875,,,,745.2899780273438,745.2899780273438,745.2899780273438,,,,,,,,,,,,,,,,,,
10212.0,1,1482.1500244140625,1482.1500244140625,1482.1500244140625,,1482.1600341796875,,,1482.1700439453125,1482.1800537109375,,1482.1800537109375,,,,,1482.1800537109375,1482.1800537109375,1482.1800537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.3800048828125,1490.3800048828125,1490.3800048828125,1490.3800048828125,1490.3800048828125,1490.3800048828125,1490.3800048828125,,,1490.3900146484375,1490.3900146484375,1490.3900146484375,1490.3900146484375,1490.3900146484375,,,1490.4000244140625,,,,,,,,,,,,,,,,,,
